HREF: https://sti.vista.gov.vn/ | TEXT: Trang chủ
HREF: https://sti.vista.gov.vn/about.html | TEXT: Giới thiệu
HREF: https://sti.vista.gov.vn/?mod=publication&keyword=&year=0&ts=all&af=&nb=4&cat=&sort=&page=20# | TEXT: Hướng dẫn tra cứu
HREF: https://sti.vista.gov.vn/?mod=publication&keyword=&year=0&ts=all&af=&nb=4&cat=&sort=&page=20# | TEXT: Thủ tục hành chính
HREF: https://dichvucong.mst.gov.vn/vi/home-btttt/trangchu | TEXT: Dịch vụ công
HREF: https://dichvucong.mst.gov.vn/vi/home-btttt/trangchu | TEXT: Bộ chỉ số phục vụ người dân, doanh nghiệp trong th
HREF: https://sti.vista.gov.vn/?mod=publication&keyword=&year=0&ts=all&af=&nb=4&cat=&sort=&page=20# | TEXT: Liên hệ
HREF: https://nsti.vista.gov.vn/controlpanel | TEXT: Đăng nhập
HREF: https://sti.vista.gov.vn/?mod=publication&keyword=&year=0&ts=all&af=&nb=4&cat=&sort=&page=20# | TEXT: tìm kiếm Công bố KH&CN
HREF: https://sti.vista.gov.vn/?mod=publication&keyword=&year=0&ts=all&af=&nb=4&cat=&sort=&page=20 | TEXT: Các Công bố KH&CN
HREF: https://sti.vista.gov.vn/publication/view/hanh-trinh-50-nam-kien-tao-tri-thuc-va-dau-an-lich-su-cua-truong-dai-hoc-kinh-te-dai-hoc-da-nang-a6d4b80cb2c6978d8889ecc1a993dfa0-464652.html | TEXT: Hành trình 50 năm kiến tạo tri thức và dấu ấn lịch
HREF: https://sti.vista.gov.vn/?mod=publication&q=%C4%90%E1%BA%A1i%20h%E1%BB%8Dc%20%C4%90%C3%A0%20N%E1%BA%B5ng | TEXT: Đại học Đà Nẵng
HREF: https://sti.vista.gov.vn/?mod=publication&q=Gi%C3%A1o%20d%E1%BB%A5c%20%C4%91%E1%BA%A1i%20h%E1%BB%8Dc | TEXT: Giáo dục đại học
HREF: https://sti.vista.gov.vn/?mod=publication&q=Tri%20th%E1%BB%A9c | TEXT: Tri thức
HREF: https://sti.vista.gov.vn/?mod=publication&q=Ph%C3%A1t%20tri%E1%BB%83n | TEXT: Phát triển
HREF: https://sti.vista.gov.vn/publication/download/464652-a6d4b80cb2c6978d8889ecc1a993dfa0.html | TEXT: Xem toàn văn
HREF: https://sti.vista.gov.vn/publication/view/kham-pha-tac-dong-cua-cac-kieu-khoe-khoang-cua-nguoi-noi-tieng-den-y-dinh-mua-hang-cua-nguoi-tieu-dung-vai-tro-cua-yeu-to-the-hien-ban-than-va-phu-hop-c26b5e3c748ac46191bb932dc1862d33-464651.html | TEXT: Khám phá tác động của các kiểu khoe khoang của ngư
HREF: https://sti.vista.gov.vn/?mod=publication&q=T%C3%A1c%20%C4%91%E1%BB%99ng%20khoe%20khoang | TEXT: Tác động khoe khoang
HREF: https://sti.vista.gov.vn/?mod=publication&q=Khi%C3%AAm%20t%E1%BB%91n | TEXT: Khiêm tốn
HREF: https://sti.vista.gov.vn/?mod=publication&q=%C3%9D%20%C4%91%E1%BB%8Bnh%20mua%20h%C3%A0ng | TEXT: Ý định mua hàng
HREF: https://sti.vista.gov.vn/?mod=publication&q=S%E1%BA%A3n%20ph%E1%BA%A9m%20xa%20x%E1%BB%89 | TEXT: Sản phẩm xa xỉ
HREF: https://sti.vista.gov.vn/?mod=publication&q=H%C3%A0nh%20vi%20ti%C3%AAu%20d%C3%B9ng | TEXT: Hành vi tiêu dùng
HREF: https://sti.vista.gov.vn/publication/download/464651-c26b5e3c748ac46191bb932dc1862d33.html | TEXT: Xem toàn văn
HREF: https://sti.vista.gov.vn/publication/view/phan-tich-cac-nhan-to-tac-dong-den-y-dinh-khoi-nghiep-xanh-cua-sinh-vien-tren-dia-ban-thanh-pho-ho-chi-minh-6f91f318e24dc751ff3e81b6e1fff0d5-464650.html | TEXT: Phân tích các nhân tố tác động đến ý định khởi ngh
HREF: https://sti.vista.gov.vn/?mod=publication&q=Kh%E1%BB%9Fi%20nghi%E1%BB%87p%20xanh | TEXT: Khởi nghiệp xanh
HREF: https://sti.vista.gov.vn/?mod=publication&q=Sinh%20vi%C3%AAn | TEXT: Sinh viên
HREF: https://sti.vista.gov.vn/?mod=publication&q=Y%E1%BA%BFu%20t%E1%BB%91%20t%C3%A1c%20%C4%91%E1%BB%99ng | TEXT: Yếu tố tác động
HREF: https://sti.vista.gov.vn/?mod=publication&q=%C3%9D%20%C4%91%E1%BB%8Bnh%20kh%E1%BB%9Fi%20nghi%E1%BB%87p | TEXT: Ý định khởi nghiệp
HREF: https://sti.vista.gov.vn/publication/download/464650-6f91f318e24dc751ff3e81b6e1fff0d5.html | TEXT: Xem toàn văn
HREF: https://sti.vista.gov.vn/publication/view/dinh-huong-phat-trien-ky-nang-nghe-nghiep-thong-qua-cac-chuong-trinh-ngoai-khoa-va-phuc-vu-cong-dong-tai-khoa-quan-tri-kinh-doanh-truong-dai-hoc-kinh--54566121fb8e7adf40c21f291d8b0cda-464649.html | TEXT: Định hướng phát triển kỹ năng nghề nghiệp thông qu
HREF: https://sti.vista.gov.vn/?mod=publication&q=Ho%E1%BA%A1t%20%C4%91%E1%BB%99ng%20ngo%E1%BA%A1i%20kh%C3%B3a | TEXT: Hoạt động ngoại khóa
HREF: https://sti.vista.gov.vn/?mod=publication&q=K%E1%BB%B9%20n%C4%83ng%20ngh%E1%BB%81%20nghi%E1%BB%87p | TEXT: Kỹ năng nghề nghiệp
HREF: https://sti.vista.gov.vn/?mod=publication&q=Ph%C3%A1t%20tri%E1%BB%83n%20k%E1%BB%B9%20n%C4%83ng | TEXT: Phát triển kỹ năng
HREF: https://sti.vista.gov.vn/?mod=publication&q=Sinh%20vi%C3%AAn | TEXT: Sinh viên
HREF: https://sti.vista.gov.vn/publication/download/464649-54566121fb8e7adf40c21f291d8b0cda.html | TEXT: Xem toàn văn
HREF: https://sti.vista.gov.vn/publication/view/moi-quan-he-giua-no-cong-lam-phat-va-tang-truong-kinh-te-nghien-cuu-tai-viet-nam-baf1739fede65f6247522fb217d7bd4d-464648.html | TEXT: Mối quan hệ giữa nợ công, lạm phát và tăng trưởng 
HREF: https://sti.vista.gov.vn/?mod=publication&q=N%E1%BB%A3%20c%C3%B4ng | TEXT: Nợ công
